Best,Avg
34,64.91
33,58.57
33,56.19
33,57.63
28,55.72
28,56.72
26,53.59
26,53.98
20,51.75
20,49.68
20,50.76
16,50.1
16,50.03
15,48.3
15,48.45
15,49.62
15,48.97
15,44.85
15,46.42
15,46.65
15,43.8
15,41.67
15,41.84
15,39.8
14,31.49
14,33.04
14,30.1
14,30.49
12,33.18
12,27.32
12,31.55
12,31.74
12,33.51
12,31.45
12,33.24
12,31.69
12,30.77
12,27.51
12,28.95
12,32.03
12,35.67
12,35.03
11,36.26
11,35.54
11,35.39
11,38.12
11,37.78
10,36.75
10,31.37
10,35.52
10,38.0
10,38.97
10,39.3
10,39.45
10,32.53
10,27.43
8,26.68
8,23.77
8,27.41
8,26.84
8,28.23
8,23.67
8,24.96
8,23.48
8,24.19
8,23.45
8,25.55
8,25.38
8,26.64
8,25.76
8,21.38
8,24.94
8,22.76
8,22.07
7,22.64
7,22.98
7,19.93
7,25.69
7,25.0
7,22.11
7,23.71
7,23.05
7,24.28
7,24.7
6,24.71
4,20.13
4,19.69
4,23.24
4,24.65
4,21.86
4,22.47
4,23.9
4,25.36
4,20.55
4,23.23
4,18.99
4,17.32
4,21.08
4,21.02
4,21.49
4,19.91
4,23.56
4,23.47
4,21.59
4,21.36
4,20.24
4,18.87
4,20.64
4,19.89
4,23.7
4,22.42
4,24.47
4,22.72
4,22.35
4,21.47
4,23.2
4,23.24
4,21.15
4,21.88
4,20.16
4,21.55
4,22.86
4,21.54
4,21.15
4,20.75
4,19.51
4,19.41
4,19.76
4,18.21
4,19.65
4,22.96
4,17.34
4,19.91
4,18.2
4,19.93
4,21.87
4,18.15
4,18.62
4,22.71
4,23.76
4,19.44
4,21.26
4,20.98
4,19.7
4,22.65
4,20.57
4,21.66
4,24.66
4,22.87
4,21.02
4,23.18
4,19.08
4,21.56
4,19.48
4,20.21
4,23.72
4,24.17
4,24.25
4,19.7
4,25.21
4,23.81
4,17.9
4,20.05
4,22.2
4,21.2
4,20.01
4,20.61
4,19.12
4,21.94
4,19.93
4,21.76
4,20.03
4,21.59
4,22.91
4,17.67
4,18.27
4,18.23
4,20.16
4,21.97
4,24.67
4,22.47
4,23.41
4,22.38
4,24.19
4,22.5
4,24.43
4,22.5
4,21.11
4,21.81
4,21.74
4,22.1
4,23.4
4,20.2
4,19.89
4,19.53
4,18.07
4,19.31
4,20.92
4,20.37
4,20.93
4,19.47
4,24.74
4,24.48
4,19.28
4,19.15
4,20.87
4,21.32
4,21.35
4,20.52
4,19.97
4,25.17
4,25.12
4,19.69
4,23.19
4,23.82
4,21.92
4,18.8
4,19.32
4,19.56
4,17.23
4,23.86
4,25.62
4,21.37
4,22.58
4,20.77
4,21.61
4,18.27
4,19.97
4,16.04
4,17.81
4,21.76
4,20.22
4,18.22
4,18.51
4,21.4
4,20.84
4,20.73
4,19.16
4,18.76
4,21.62
4,21.71
4,20.51
4,20.46
4,22.31
4,17.03
4,18.15
4,22.41
4,22.01
4,23.8
4,19.64
4,20.14
4,19.11
4,23.92
4,22.57
4,21.38
4,23.74
4,25.09
4,20.81
4,21.86
4,23.43
4,24.65
4,20.31
4,23.62
4,20.51
4,18.0
4,21.75
4,24.66
4,23.83
4,19.4
4,19.5
4,18.03
4,19.63
4,19.18
4,19.48
4,20.89
4,22.47
4,19.44
4,19.33
4,25.28
4,23.28
4,21.65
4,22.03
4,21.14
4,18.94
4,23.29
4,21.65
4,21.92
4,25.35
4,22.41
4,18.03
4,20.67
4,22.79
4,22.64
4,21.04
4,20.46
4,24.81
4,23.07
4,22.1
4,24.45
4,24.06
4,22.53
4,24.19
4,20.62
4,23.29
4,20.77
4,21.45
4,17.99
4,20.37
4,23.96
4,24.37
4,22.24
4,19.87
4,19.33
4,21.86
4,19.22
4,20.36
4,22.87
4,20.51
4,19.38
4,23.9
4,22.82
4,22.5
4,21.46
4,23.85
4,21.76
4,17.46
4,20.66
4,21.28
4,21.42
4,21.57
4,21.12
4,19.84
4,18.51
4,20.9
4,22.1
4,22.34
4,21.81
4,21.75
4,19.98
4,20.21
4,19.89
4,16.38
4,22.03
4,20.81
4,22.32
4,21.94
4,20.22
4,18.75
4,18.58
4,17.36
4,17.31
4,21.65
4,21.27
4,22.59
4,24.7
4,21.96
4,22.07
4,18.11
4,21.17
4,19.8
4,22.51
4,20.34
4,20.88
4,22.66
4,22.33
4,20.79
4,19.87
4,23.01
4,20.11
4,21.72
4,19.63
4,16.76
4,18.76
4,19.74
4,19.42
4,24.35
4,21.05
4,22.06
4,23.06
4,19.65
4,22.62
4,21.35
4,17.93
4,18.05
4,24.29
4,22.59
4,18.0
4,20.31
4,22.74
4,20.5
4,24.31
4,22.25
4,18.55
4,19.61
4,19.43
4,18.8
4,22.54
4,22.48
4,23.98
4,22.02
4,20.34
4,21.83
4,24.01
4,24.0
4,18.05
4,20.24
4,18.67
4,19.62
4,18.43
4,20.27
4,22.86
4,22.27
4,25.02
4,21.01
4,20.12
4,19.68
4,23.36
4,22.4
4,17.84
4,16.96
4,16.64
4,19.85
4,20.14
4,21.47
4,21.92
4,22.41
4,20.56
4,22.27
4,19.8
4,24.46
4,21.29
4,21.96
4,22.98
4,20.08
4,18.13
4,18.19
4,21.83
4,19.78
4,22.41
4,20.78
4,23.39
4,20.21
4,16.75
4,19.7
4,21.98
4,21.53
4,21.17
4,20.48
